Escola,Endereco,Latitude,Longitude
CENTRO EDUCACIONAL MOEMA TÁVORA,"RUA MARCILIO DIAS 485 - PIRAMBU, Fortaleza, Ceará, Brasil",-3.712199,-38.5500944
EEFM PATRONATO SAGRADA FAMÍLIA,"RUA MARTINS NETO 379 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7407451,-38.5891017
EEFM SALES CAMPOS,"RUA JACINTO DE MATOS 730 - JACARECANGA, Fortaleza, Ceará, Brasil",,
EEFM WALDEMAR FALCÃO,"RUA ANTONIO JOAQUIM DE CARVALHO 19 - ALVARO WEYNE, Fortaleza, Ceará, Brasil",-3.7171597,-38.5704948
CAIC RAIMUNDO GOMES DE CARVALHO,"RUA PROFESSOR EDGAR DE RRUDA 1683 - DOM LUSTOSA, Fortaleza, Ceará, Brasil",,
EEFM DOUTOR CÉSAR CALS,"AVENIDA DOMINGOS OLIMPIO 1800 - FARIAS BRITO, Fortaleza, Ceará, Brasil",-3.7335729,-38.5392743
EEEP DONA CREUSA DO CARMO ROCHA,"AV. SARGENTO HERMINIO 2006 - MONTE CASTELO, Fortaleza, Ceará, Brasil",-3.7253751,-38.558891
CEJA PROFESSOR JOSÉ NEUDSON BRAGA,"AV CARAPINIMA 2137 - BENFICA, Fortaleza, Ceará, Brasil",-3.7394753,-38.5391346
EEFM AYRTON SENNA DA SILVA,"RUA MANAUS 855 - DOM LUSTOSA, Fortaleza, Ceará, Brasil",-3.755151,-38.5915513
COLÉGIO DA POLÍCIA MILITAR DO CEARÁ,"AV MISTER HULL 3835 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7390816,-38.5861527
COLÉGIO MILITAR DO CORPO DE BOMBEIROS,"RUA ADRIANO MARTINS 436 - JACARECANGA, Fortaleza, Ceará, Brasil",-3.718402,-38.5443281
CEJA JOSÉ WALTER,"AVENIDA L sn - JOSE WALTER, Fortaleza, Ceará, Brasil",-3.8263715,-38.5561328
EEFM MÁRIO HUGO CIDRACK DO VALE,"RUA DOUTOR PERIGUARI 547 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7444056,-38.5858557
LICEU DA VILA VELHA,"AV L 840 - NOVO ASSUNÇAO, Fortaleza, Ceará, Brasil",,
EEFM DOM HÉLDER CÂMARA,"RUA ROSINHA SAMPAIO 1157 - QUINTINO CUNHA, Fortaleza, Ceará, Brasil",-3.7269976,-38.5891803
EEFM JOSÉ WALDEMAR DE ALCÂNTARA E SILVA,"RUA MACEIO 627 - DOM LUSTOSA, Fortaleza, Ceará, Brasil",-3.7576815,-38.5870761
CEJA PROFESSOR MOREIRA CAMPOS,"RUA JULIO BRAGA 101 - PARANGABA, Fortaleza, Ceará, Brasil",-3.7783451,-38.572558
EEFM PROFESSOR PAULO FREIRE,"AV SENADOR FERNANDES TAVORA 1936 - HENRIQUE JORGE, Fortaleza, Ceará, Brasil",-3.7582836,-38.5895468
EEF SÃO JOSÉ DO PICI DAS PEDREIRAS,"RUA MANOEL ANTONIO LEITE 250 - BONSUCESSO, Fortaleza, Ceará, Brasil",-3.7735151,-38.592526
CEJA PAULO FREIRE,"AVENIDA OLAVO BILAC 1300 - SAO GERARDO, Fortaleza, Ceará, Brasil",-3.7323392,-38.565027
CEJA PROFESSORA MARIA EUDES VERAS,"AV DEMETRIO MENEZES 130 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",,
CEJA MILTON CUNHA,"RUA PADRE PEDRO DE ALENCAR 328 - MESSEJANA, Fortaleza, Ceará, Brasil",-3.8304322,-38.4944402
EEFM JOÃO PAULO II,"AV PROFESSOR HERIBALDO COSTA 1125 - HENRIQUE JORGE, Fortaleza, Ceará, Brasil",-3.7624693,-38.5849949
EEEP PAULO PETROLA,"RUA SALDARIA sn - BARRA DO CEARA, Fortaleza, Ceará, Brasil",,
EEFM DOM ANTONIO DE ALMEIDA LUSTOSA,"RUA ADOLFO MOREIRA DE CARVALHO 1 - EDSON QUEIROZ, Fortaleza, Ceará, Brasil",-3.7726627,-38.4768352
